id	rate
01000	34880
01001	32657
01003	38024
01005	26807
01007	24180
01009	27220
01011	23188
01013	28562
01015	31758
01017	28994
01019	26869
01021	28844
01023	30050
01025	30810
01027	26288
01029	28916
01031	36653
01033	31743
01035	28222
01037	23678
01039	29399
01041	30217
01043	30616
01045	30393
01047	28615
01049	25586
01051	33975
01053	28227
01055	31844
01057	26884
01059	26457
01061	30047
01063	31678
01065	30458
01067	31888
01069	36330
01071	30591
01073	44074
01075	27430
01077	32211
01079	29144
01081	29208
01083	34250
01085	32176
01087	27644
01089	41601
01091	33467
01093	26237
01095	30543
01097	32779
01099	28245
01101	38414
01103	32904
01105	28941
01107	28910
01109	34269
01111	26263
01113	31920
01115	32240
01117	44734
01119	25680
01121	30820
01123	30899
01125	34724
01127	33167
01129	28477
01131	25996
01133	25982
02000	45665
02013	27980
02016	31845
02020	50958
02050	32108
02060	49727
02068	60191
02070	40046
02090	42626
02100	68517
02105	39307
02110	48242
02122	41772
02130	51631
02150	43951
02164	37023
02170	41905
02180	35160
02185	48447
02188	34720
02195	48203
02198	30954
02220	44044
02230	60683
02240	44716
02261	45289
02270	21992
02275	35250
02282	41766
02290	37259
04000	35062
04001	25813
04003	35738
04005	34353
04007	31846
04009	25215
04011	31333
04012	29053
04013	38071
04015	26145
04017	25554
04019	34961
04021	24287
04023	25037
04025	29490
04027	27091
05000	33740
05001	40173
05003	34789
05005	32335
05007	36744
05009	30524
05011	30467
05013	28356
05015	27121
05017	32320
05019	30386
05021	30639
05023	34924
05025	32051
05027	33253
05029	33021
05031	32588
05033	27699
05035	31850
05037	30939
05039	30035
05041	33101
05043	31086
05045	33255
05047	30593
05049	26723
05051	35355
05053	32601
05055	28709
05057	29075
05059	27724
05061	27810
05063	31088
05065	26469
05067	31055
05069	31627
05071	24551
05073	27125
05075	27323
05077	30642
05079	25991
05081	30182
05083	26773
05085	32972
05087	21921
05089	26684
05091	33539
05093	32741
05095	31733
05097	24211
05099	29912
05101	26127
05103	31006
05105	32041
05107	31314
05109	28651
05111	30350
05113	24263
05115	29007
05117	31744
05119	43938
05121	27362
05123	26373
05125	39040
05127	23116
05129	25926
05131	37052
05133	22926
05135	25214
05137	25411
05139	42335
05141	29457
05143	33220
05145	29624
05147	31375
05149	26772
06000	43647
06001	49617
06003	49274
06005	35689
06007	33356
06009	35828
06011	46741
06013	57011
06015	27220
06017	49967
06019	31542
06021	36796
06023	33308
06025	28351
06027	37905
06029	31400
06031	29407
06033	33375
06035	28855
06037	42564
06039	28631
06041	85761
06043	34103
06045	36211
06047	28497
06049	36148
06051	41370
06053	41138
06055	51253
06057	44313
06059	50440
06061	48476
06063	39339
06065	29927
06067	38202
06069	35029
06071	29998
06073	46800
06075	74349
06077	31013
06079	40322
06081	69577
06083	45219
06085	61833
06087	48883
06089	35466
06091	36307
06093	33928
06095	38078
06097	45331
06099	32115
06101	33908
06103	27592
06105	30389
06107	29640
06109	36680
06111	45855
06113	36896
06115	30437
08000	44053
08001	33061
08003	33402
08005	48989
08007	31536
08009	44860
08011	23827
08013	51893
08014	40892
08015	32246
08017	57591
08019	55335
08021	25638
08023	27127
08025	16752
08027	34793
08029	31307
08031	54537
08033	29250
08035	71463
08037	48618
08039	44606
08041	39909
08043	27440
08045	37858
08047	43444
08049	38504
08051	34293
08053	41284
08055	31380
08057	44604
08059	45179
08061	43447
08063	39383
08065	29274
08067	43453
08069	39767
08071	31961
08073	31153
08075	34725
08077	35169
08079	45243
08081	40945
08083	34015
08085	30933
08087	33489
08089	31370
08091	41898
08093	33936
08095	40055
08097	79086
08099	33985
08101	31760
08103	40792
08105	34051
08107	51628
08109	24820
08111	29854
08113	47742
08115	50745
08117	46627
08119	42297
08121	41158
08123	29986
08125	42572
09000	57902
09001	78504
09003	53974
09005	53139
09007	54198
09009	49478
09011	47452
09013	46624
09015	39141
10000	41449
10001	33302
10003	46315
10005	34988
11000	73783
11001	73783
12000	39636
12001	35816
12003	25426
12005	37068
12007	29059
12009	38028
12011	42768
12013	22318
12015	35161
12017	32675
12019	33476
12021	59264
12023	28209
12027	24574
12029	20728
12031	39858
12033	36047
12035	33170
12037	29147
12039	27778
12041	30828
12043	23725
12045	26029
12047	20005
12049	24898
12051	28285
12053	30729
12055	29809
12057	39180
12059	26324
12061	50977
12063	29033
12065	28954
12067	19121
12069	33846
12071	43022
12073	36823
12075	27231
12077	24211
12079	24853
12081	40678
12083	32709
12085	52798
12086	37834
12087	58941
12089	46099
12091	43132
12093	25831
12095	35990
12097	27171
12099	53500
12101	32102
12103	44622
12105	33447
12107	27644
12109	51677
12111	30768
12113	36141
12115	53769
12117	40914
12119	27824
12121	27988
12123	27011
12125	19049
12127	33436
12129	29157
12131	33403
12133	24660
13000	35979
13001	26781
13003	22165
13005	24861
13007	39650
13009	28533
13011	27985
13013	30556
13015	27762
13017	26606
13019	28286
13021	35676
13023	29787
13025	22900
13027	31531
13029	40085
13031	24335
13033	28549
13035	25336
13037	22287
13039	32058
13043	25082
13045	28964
13047	29685
13049	18523
13051	41480
13053	34166
13055	23576
13057	36898
13059	25587
13061	29996
13063	26755
13065	25834
13067	45923
13069	25110
13071	27196
13073	42717
13075	24944
13077	33842
13079	31327
13081	26565
13083	26906
13085	32395
13087	28718
13089	40262
13091	23183
13093	20384
13095	28689
13097	29761
13099	35966
13101	23181
13103	34485
13105	28713
13107	26434
13109	27657
13111	28759
13113	44460
13115	33159
13117	41354
13119	28956
13121	57451
13123	27624
13125	22659
13127	36619
13129	26382
13131	27801
13133	38429
13135	32861
13137	27075
13139	32001
13141	21059
13143	28347
13145	49114
13147	26552
13149	26289
13151	30143
13153	34674
13155	28454
13157	30048
13159	29818
13161	24979
13163	26509
13165	25016
13167	20901
