year	id	rate
1990	00	19354
1991	00	19818
1992	00	20799
1993	00	21385
1994	00	22297
1995	00	23262
1996	00	24442
1997	00	25654
1998	00	27258
1999	00	28333
2000	00	30319
2001	00	31157
2002	00	31481
2003	00	32295
2004	00	33909
2005	00	35452
2006	00	37725
2007	00	39506
2008	00	40947
2009	00	38637
2010	00	39791
2011	00	41560
2012	00	42693
1990	01	15618
1991	01	16337
1992	01	17264
1993	01	17766
1994	01	18656
1995	01	19551
1996	01	20245
1997	01	21118
1998	01	22217
1999	01	22961
2000	01	24067
2001	01	25072
2002	01	25762
2003	01	26660
2004	01	28256
2005	01	29681
2006	01	31208
2007	01	32528
2008	01	33949
2009	01	32406
2010	01	33710
2011	01	34880
2012	01	35625
1990	02	22594
1991	02	23092
1992	02	23706
1993	02	24478
1994	02	25186
1995	02	25778
1996	02	26179
1997	02	27197
1998	02	27943
1999	02	28538
2000	02	30508
2001	02	32251
2002	02	33174
2003	02	33657
2004	02	34993
2005	02	36911
2006	02	38951
2007	02	41316
2008	02	44816
2009	02	42713
2010	02	43749
2011	02	45665
2012	02	46778
1990	04	16806
1991	04	17253
1992	04	17762
1993	04	18371
1994	04	19385
1995	04	20164
1996	04	21159
1997	04	22231
1998	04	23722
1999	04	24583
2000	04	26293
2001	04	27091
2002	04	27459
2003	04	28239
2004	04	30080
2005	04	32223
2006	04	34326
2007	04	35441
2008	04	36059
2009	04	33560
2010	04	33773
2011	04	35062
2012	04	35979
1990	05	14402
1991	05	15103
1992	05	16204
1993	05	16692
1994	05	17496
1995	05	18260
1996	05	19170
1997	05	19846
1998	05	20798
1999	05	21556
2000	05	22574
2001	05	23864
2002	05	24260
2003	05	25407
2004	05	26810
2005	05	27858
2006	05	29385
2007	05	31353
2008	05	32861
2009	05	31688
2010	05	32373
2011	05	33740
2012	05	34723
1990	06	21380
1991	06	21734
1992	06	22439
1993	06	22744
1994	06	23448
1995	06	24498
1996	06	25788
1997	06	27063
1998	06	29195
1999	06	30679
2000	06	33404
2001	06	33896
2002	06	34049
2003	06	34975
2004	06	36887
2005	06	38731
2006	06	41518
2007	06	43211
2008	06	44003
2009	06	41034
2010	06	41893
2011	06	43647
2012	06	44980
1990	08	19377
1991	08	20123
1992	08	21102
1993	08	22152
1994	08	23237
1995	08	24575
1996	08	25964
1997	08	27402
1998	08	29174
1999	08	30919
2000	08	33986
2001	08	35355
2002	08	35131
2003	08	35312
2004	08	36849
2005	08	38795
2006	08	41181
2007	08	42724
2008	08	44180
2009	08	41154
2010	08	42107
2011	08	44053
2012	08	45135
1990	09	26198
1991	09	26430
1992	09	28287
1993	09	29051
1994	09	29891
1995	09	31366
1996	09	32835
1997	09	34877
1998	09	37226
1999	09	38718
2000	09	41920
2001	09	43561
2002	09	43243
2003	09	43576
2004	09	46174
2005	09	48134
2006	09	52324
2007	09	55859
2008	09	56959
2009	09	52900
2010	09	55427
2011	09	57902
2012	09	58908
1990	10	21209
1991	10	22073
1992	10	22500
1993	10	22885
1994	10	23487
1995	10	24409
1996	10	25808
1997	10	26574
1998	10	28397
1999	10	29072
2000	10	31009
2001	10	32350
2002	10	33130
2003	10	33760
2004	10	35534
2005	10	36771
2006	10	38812
2007	10	39808
2008	10	40565
2009	10	38695
2010	10	39425
2011	10	41449
2012	10	41940
1990	11	26015
1991	11	27333
1992	11	28694
1993	11	29883
1994	11	30804
1995	11	31291
1996	11	32981
1997	11	34807
1998	11	36503
1999	11	37093
2000	11	40462
2001	11	45421
2002	11	46347
2003	11	48451
2004	11	52362
2005	11	56362
2006	11	60957
2007	11	65329
2008	11	70686
2009	11	68093
2010	11	71220
2011	11	73783
2012	11	74710
1990	12	19437
1991	12	19776
1992	12	20474
1993	12	21197
1994	12	21919
1995	12	23014
1996	12	24050
1997	12	24919
1998	12	26453
1999	12	27329
2000	12	29079
2001	12	29804
2002	12	30462
2003	12	31241
2004	12	33463
2005	12	35489
2006	12	37996
2007	12	39256
2008	12	39978
2009	12	36849
2010	12	38345
2011	12	39636
2012	12	40344
1990	13	17563
1991	13	18110
1992	13	19139
1993	13	19866
1994	13	20945
1995	13	22023
1996	13	23340
1997	13	24287
1998	13	25680
1999	13	26772
2000	13	28541
2001	13	29346
2002	13	29526
2003	13	30056
2004	13	31126
2005	13	32775
2006	13	34061
2007	13	35369
2008	13	35857
2009	13	33887
2010	13	34531
2011	13	35979
2012	13	36869
1990	15	21818
1991	15	22763
1992	15	24014
1993	15	24566
1994	15	24847
1995	15	25160
1996	15	25253
1997	15	25892
1998	15	26546
1999	15	27467
2000	15	29024
2001	15	29313
2002	15	30232
2003	15	31197
2004	15	33202
2005	15	35067
2006	15	37507
2007	15	39946
2008	15	41520
2009	15	40242
2010	15	40952
2011	15	42925
2012	15	44024
1990	16	15603
1991	16	16015
1992	16	17063
1993	16	18110
1994	16	18865
1995	16	19665
1996	16	20525
1997	16	20961
1998	16	22234
1999	16	23269
2000	16	24685
2001	16	25665
2002	16	26042
2003	16	26452
2004	16	28412
2005	16	29544
2006	16	31493
2007	16	32607
2008	16	33110
2009	16	30809
2010	16	31556
2011	16	32881
2012	16	33749
1990	17	20835
1991	17	21148
1992	17	22553
1993	17	23068
1994	17	24181
1995	17	25382
1996	17	26806
1997	17	28130
1998	17	29746
1999	17	30619
2000	17	32645
2001	17	33232
2002	17	33793
2003	17	34717
2004	17	36164
2005	17	37437
2006	17	39900
2007	17	41950
2008	17	43502
2009	17	40865
2010	17	42025
2011	17	43721
2012	17	44815
1990	18	17454
1991	18	17865
1992	18	19099
1993	18	19885
1994	18	20973
1995	18	21644
1996	18	22655
1997	18	23607
1998	18	25169
1999	18	25899
2000	18	27459
2001	18	28028
2002	18	28476
2003	18	29484
2004	18	30528
2005	18	31141
2006	18	32667
2007	18	33645
2008	18	34894
2009	18	33163
2010	18	34028
2011	18	35689
2012	18	36902
1990	19	17350
1991	19	17700
1992	19	18789
1993	19	18700
1994	19	20367
1995	19	21006
1996	19	22787
1997	19	23747
1998	19	24898
1999	19	25539
2000	19	27285
2001	19	27908
2002	19	28823
2003	19	29398
2004	19	31594
2005	19	32204
2006	19	33719
2007	19	35843
2008	19	38314
2009	19	36977
2010	19	37882
2011	19	41156
2012	19	42126
1990	20	18034
1991	20	18605
1992	20	19710
1993	20	20371
1994	20	21235
1995	20	21870
1996	20	23255
1997	20	24504
1998	20	26032
1999	20	26826
2000	20	28468
2001	20	29662
2002	20	29742
2003	20	30812
2004	20	31882
2005	20	33102
2006	20	35678
2007	20	37663
2008	20	40466
2009	20	37988
2010	20	38545
2011	20	40883
2012	20	41835
1990	21	15360
1991	21	16142
1992	21	17150
1993	21	17554
1994	21	18308
1995	21	18978
1996	21	19982
1997	21	21021
1998	21	22244
1999	21	23032
2000	21	24785
2001	21	25363
2002	21	25856
2003	21	26347
2004	21	27492
2005	21	28486
2006	21	30034
2007	21	31175
2008	21	32516
2009	21	31754
2010	21	32504
2011	21	33989
2012	21	35041
1990	22	15171
1991	22	15931
1992	22	16857
1993	22	17559
1994	22	18641
1995	22	19367
1996	22	20155
1997	22	21088
1998	22	22119
1999	22	22458
2000	22	23554
2001	22	25275
2002	22	25763
2003	22	26429
2004	22	27669
2005	22	29567
2006	22	33287
2007	22	35794
2008	22	37861
2009	22	36062
2010	22	37116
2011	22	38549
2012	22	39413
1990	23	17211
1991	23	17457
1992	23	18214
1993	23	18690
1994	23	19552
1995	23	20372
1996	23	21507
1997	23	22566
1998	23	24171
1999	23	25151
2000	23	26699
2001	23	28181
2002	23	28846
2003	23	29851
2004	23	31335
2005	23	31834
2006	23	33474
2007	23	34930
2008	23	36429
2009	23	35981
2010	23	36629
2011	23	38299
2012	23	39481
1990	24	22681
1991	24	23282
1992	24	24112
1993	24	24805
1994	24	25780
1995	24	26618
1996	24	27689
1997	24	29000
1998	24	30742
1999	24	32216
2000	24	34678
2001	24	36203
2002	24	37092
2003	24	38153
2004	24	40499
2005	24	42405
2006	24	44858
2007	24	46839
2008	24	48864
2009	24	47419
2010	24	48621
2011	24	50656
2012	24	51971
1990	25	22797
1991	25	23314
1992	25	24422
1993	25	25182
1994	25	26393
1995	25	27662
1996	25	29279
1997	25	30911
1998	25	33006
1999	25	34671
2000	25	38222
2001	25	39547
2002	25	39597
2003	25	40264
2004	25	42276
2005	25	44097
2006	25	47559
2007	25	50150
2008	25	51902
2009	25	49578
2010	25	51143
2011	25	53471
2012	25	54687
1990	26	18719
1991	26	19129
1992	26	20179
1993	26	21046
1994	26	22593
1995	26	23428
1996	26	24279
1997	26	25349
1998	26	26903
1999	26	27858
2000	26	29400
2001	26	30024
2002	26	30262
2003	26	31300
2004	26	31768
2005	26	32409
2006	26	33365
2007	26	34419
2008	26	35288
2009	26	33221
2010	26	34326
2011	26	36264
2012	26	37497
1990	27	19710
1991	27	20129
1992	27	21306
1993	27	21601
1994	27	23003
1995	27	24144
1996	27	25871
1997	27	27095
1998	27	29273
1999	27	30562
2000	27	32599
2001	27	33348
2002	27	34071
2003	27	35252
2004	27	37017
2005	27	37892
2006	27	39867
2007	27	41642
2008	27	43466
2009	27	40950
2010	27	42528
2011	27	44560
2012	27	46227
1990	28	13117
1991	28	13749
1992	28	14651
1993	28	15426
1994	28	16512
1995	28	17176
1996	28	18079
1997	28	18880
1998	28	19947
1999	28	20555
2000	28	21555
2001	28	22815
2002	28	23131
2003	28	23970
2004	28	25122
2005	28	26755
2006	28	27917
2007	28	29568
2008	28	30945
2009	28	30013
2010	28	30841
2011	28	32000
2012	28	33073
1990	29	17582
1991	29	18320
1992	29	19327
1993	29	19951
1994	29	21035
1995	29	21832
1996	29	22901
1997	29	24104
1998	29	25419
1999	29	26218
2000	29	27885
2001	29	28637
2002	29	29286
2003	29	30218
2004	29	31412
2005	29	32253
2006	29	34013
2007	29	35521
2008	29	37738
2009	29	35837
2010	29	36406
2011	29	37969
2012	29	39049
1990	30	15346
1991	30	16250
1992	30	16859
1993	30	17787
1994	30	17989
1995	30	18546
1996	30	19261
1997	30	20033
1998	30	21459
1999	30	22045
2000	30	23457
2001	30	25284
2002	30	25635
2003	30	26915
2004	30	28489
2005	30	29975
2006	30	31959
2007	30	33651
2008	30	35323
2009	30	33364
2010	30	34405
2011	30	36016
2012	30	37370
1990	31	17948
1991	31	18523
1992	31	19403
1993	31	19836
1994	31	21024
1995	31	22008
1996	31	23853
1997	31	24359
1998	31	25859
1999	31	27017
2000	31	28590
2001	31	29849
2002	31	30231
2003	31	32009
2004	31	33100
2005	31	34098
2006	31	35432
2007	31	37887
2008	31	40396
2009	31	38438
2010	31	39445
2011	31	42450
2012	31	43143
1990	32	20042
1991	32	20777
1992	32	22099
1993	32	22833
1994	32	23892
1995	32	24914
1996	32	26239
1997	32	27118
1998	32	28624
1999	32	29650
2000	32	30977
2001	32	31125
2002	32	31205
2003	32	32496
2004	32	35019
2005	32	37760
2006	32	38786
2007	32	39872
2008	32	39879
2009	32	35919
2010	32	35777
2011	32	36964
2012	32	37361
1990	33	20236
1991	33	21056
1992	33	21861
1993	33	22311
1994	33	23642
1995	33	24845
1996	33	26649
1997	33	27546
1998	33	29664
1999	33	31036
2000	33	34102
2001	33	34805
